Spoken_Volume_ID,Track_ID,Loudness,Instrumentalness,Speechiness,Acousticness
208,208,-5.993,0,0.0452,0.01
209,209,-7.14,0,0.118,0.0156
210,210,-14.062,0.000196,0.0275,0.941
211,211,-16.661,0.00104,0.0425,0.9
212,212,-16.982,0.0178,0.0422,0.968
213,213,-10.889,4.74E-06,0.0309,0.0422
214,214,-11.206,0.00585,0.0284,0.0993
215,215,-14.342,0.0121,0.0324,0.746
216,216,-7.744,2.79E-05,0.0368,0.00708
217,217,-10.014,1.40E-05,0.0726,0.332
218,218,-16.688,0.133,0.0334,0.716
219,219,-7.633,1.17E-05,0.165,0.573
220,220,-3.967,0,0.236,0.0394
221,221,-6.566,0.000891,0.225,0.00239
222,222,-3.052,1.21E-06,0.0417,0.0304
223,223,-5.968,0,0.247,0.0293
224,224,-3.585,0.00479,0.298,0.0578
225,225,-6.289,0,0.073,0.0453
226,226,-7.123,0,0.103,0.371
227,227,-7.013,0,0.425,0.144
228,228,-4.78,5.11E-05,0.138,0.0248
229,229,-2.238,3.47E-06,0.178,0.0442
230,230,-3.296,0,0.0955,0.0185
231,231,-6.685,0,0.206,0.0897
232,232,-3.872,0,0.219,0.19
233,233,-5.514,0,0.0864,0.11
234,234,-7.87,0,0.25,0.0988
235,235,-5.636,0.00137,0.03,0.0597
236,236,-6.268,0,0.135,0.246
237,237,-8.433,0,0.0512,0.0459
238,238,-8.051,0,0.196,0.213
239,239,-5.273,3.10E-05,0.152,0.416
240,240,-6.476,0,0.0327,0.0125
241,241,-4.378,0,0.317,0.255
242,242,-7.291,0,0.0866,0.858
243,243,-2.278,0,0.342,0.249
244,244,-5.429,0,0.304,0.0007
245,245,-9.39,0.00323,0.0826,0.0606
246,246,-8.659,0.00224,0.283,0.0391
247,247,-6.717,0,0.0718,0.0468
248,248,-6.689,5.92E-05,0.0345,0.05
249,249,-4.348,0,0.356,0.0435
250,250,-6.257,0,0.0331,0.483
251,251,-4.839,0.000373,0.0779,0.112
252,252,-2.88,6.07E-05,0.0499,0.0197
253,253,-6.589,1.32E-06,0.0386,0.102
254,254,-5.608,0.00143,0.105,0.0472
255,255,-4.931,6.72E-05,0.165,0.0799
256,256,-4.998,1.48E-05,0.0496,0.0117
257,257,-4.058,2.35E-05,0.234,0.495
258,258,-5.585,0.000143,0.0369,0.0224
259,259,-6.191,0,0.12,0.0215
260,260,-9.744,0.00428,0.0276,0.0644
261,261,-8.81,0.000822,0.0496,0.009
262,262,-10.991,0.01,0.0303,0.258
263,263,-5.12,0.00109,0.0378,0.0185
264,264,-22.32,0.000223,0.0318,0.883
265,265,-7.724,1.12E-05,0.0356,0.0393
266,266,-10.345,8.30E-05,0.0264,0.216
267,267,-14.745,0.0946,0.0296,0.111
268,268,-13.99,0.00771,0.0261,0.017
269,269,-12.825,0.385,0.0379,0.858
270,270,-6.514,0.000939,0.0428,0.358
271,271,-9.655,0.00899,0.0403,0.02
272,272,-7.011,0.000443,0.0323,0.295
273,273,-6.091,0.000163,0.0338,0.523
274,274,-6.748,0.000766,0.0371,0.574
275,275,-8.123,0,0.0257,0.163
276,276,-7.844,0.00396,0.0258,0.117
277,277,-4.682,8.18E-06,0.0471,0.395
278,278,-8.108,3.72E-06,0.0354,0.734
279,279,-8.274,6.35E-06,0.0288,0.457
280,280,-13.336,0,0.0595,0.903
281,281,-15.235,6.74E-06,0.0344,0.913
282,282,-13.119,0,0.0498,0.727
283,283,-7.458,0,0.0274,0.7
284,284,-12.902,0,0.0357,0.736
285,285,-11.957,0,0.0565,0.826
286,286,-14.256,0,0.0523,0.453
287,287,-8.275,0,0.0295,0.592
288,288,-14.151,0,0.0729,0.55
289,289,-17.62,6.20E-05,0.0328,0.945
290,290,-5.733,3.78E-06,0.097,0.0683
291,291,-4.627,2.23E-05,0.0435,0.0301
292,292,-3.748,0,0.0583,0.198
293,293,-4.923,0.000263,0.183,0.0607
294,294,-7.079,0.0192,0.232,0.414
295,295,-5.08,1.33E-06,0.177,0.00445
296,296,-2.273,1.76E-05,0.185,0.00789
297,297,-4.685,0.0871,0.0737,0.0836
298,298,-6.411,0.409,0.0775,0.00658
299,299,-2.867,0,0.045,0.374
300,300,-6.32,7.25E-05,0.0309,0.0354
301,301,-6.863,0.121,0.179,0.356
302,302,-4.615,0.00018,0.113,0.0798
303,303,-9.119,6.25E-06,0.0286,0.432
304,304,-11.028,5.53E-06,0.0298,0.828
305,305,-8.824,2.87E-06,0.0344,0.149
306,306,-11.097,0.000243,0.0278,0.382
307,307,-5.584,8.90E-06,0.0363,0.102
308,308,-7.712,0.00141,0.0279,0.446
309,309,-2.018,2.36E-06,0.0357,0.243
310,310,-5.542,0,0.311,0.127
311,311,-1.538,0,0.392,0.0295
312,312,-4.254,0,0.166,0.0603
313,313,-1.802,0,0.29,0.281
314,314,-7.509,0.0178,0.105,0.246
315,315,-4.965,4.26E-05,0.158,0.139
316,316,-5.148,0,0.314,0.23
317,317,-4.751,0,0.307,0.552
318,318,-6.938,0,0.245,0.411
319,319,-5.442,3.59E-05,0.287,0.354
320,320,-6.005,0,0.0484,0.417
321,321,-9.342,1.86E-06,0.244,0.0503
322,322,-4.711,2.41E-06,0.175,0.000307
323,323,-5.567,8.66E-05,0.309,0.189
324,324,-6.652,0,0.116,0.0623
325,325,-6.439,1.04E-05,0.16,0.00574
326,326,-8.368,0,0.591,0.0201
327,327,-10.491,0,0.323,0.0127
328,328,-6.386,0,0.0512,0.01
329,329,-9.579,0,0.324,0.0635
330,330,-2.821,0,0.0465,0.145
331,331,-5.983,0,0.136,0.0515
332,332,-7.578,0,0.0399,0.0381
333,333,-5.542,0,0.311,0.127
334,334,-4.113,0,0.0549,0.118
335,335,-7.858,0,0.153,0.00564
336,336,-8.665,0.000445,0.0831,0.141
