Track_ID,Artist_Name,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream
31,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Nothing Else Matters (Remastered),Metallica (Remastered),album,spotify:track:2CtemffYhT0DJWcT1XW047,0.547,0.394,4.0,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733.0,https://www.youtube.com/watch?v=tAGnKpE4NCI,Metallica: Nothing Else Matters (Official Music Video),Metallica,1209806093.0,5127599.0,135946.0,True,True,
32,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),album,spotify:track:54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,4.0,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,515387.0,https://www.youtube.com/watch?v=E0ozmU9cJDg,Master of Puppets (Remastered),Metallica - Topic,20762910.0,293409.0,1703.0,True,True,
33,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Whiskey In The Jar,"Garage, Inc.",album,spotify:track:3ZpWy5rBZv2aLQAldnmTsP,0.511,0.972,10.0,-3.751,0.0413,5.36e-06,0.00101,0.19,0.532,132.97,304893.0,https://www.youtube.com/watch?v=wsrvmNtWU4E,Metallica - Whiskey In The Jar (Official Music Video),Warner Records Vault,107553434.0,429797.0,12074.0,False,False,327681785.0
34,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,The Unforgiven (Remastered),Metallica (Remastered),album,spotify:track:7lwvxYumAEo10lzAplRGXM,0.531,0.583,7.0,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,387160.0,https://www.youtube.com/watch?v=Ckom3gf57Yw,Metallica - The Unforgiven (Official Music Video),Warner Records Vault,426125708.0,1781690.0,46392.0,False,False,
35,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),album,spotify:track:0LAcM6I7ijW4VVW0aytl1t,0.438,0.687,7.0,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,446146.0,https://www.youtube.com/watch?v=oTS5cPTqFWM,Metallica - One (Official Music Video) [Remastered in HD],"No Music, No Life !",524.0,18.0,1.0,False,False,
36,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,For Whom The Bell Tolls (Remastered),Ride The Lightning (Deluxe Remaster),album,spotify:track:51YZAJhOwIC5Gg3jMbAmhZ,0.512,0.86,0.0,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,309973.0,https://www.youtube.com/watch?v=B_HSa1dEL9s,For Whom The Bell Tolls (Remastered),Metallica - Topic,23666398.0,274106.0,667.0,True,True,
37,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Lux Æterna,Lux Æterna,single,spotify:track:3pwmJJRlr8nXNN9PFD18np,0.386,0.996,11.0,-2.96,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,205680.0,https://www.youtube.com/watch?v=_u-7rWKnVVo,Metallica: Lux Æterna (Official Music Video),Metallica,14937918.0,473751.0,46230.0,True,True,20061385.0
38,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Sad But True (Remastered),Metallica (Remastered),album,spotify:track:5UaDi8KzCGJqFfVAOBfXhi,0.624,0.876,7.0,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,324600.0,https://www.youtube.com/watch?v=A8MO7fkZc5o,Metallica: Sad But True (Official Music Video),Metallica,72737062.0,418124.0,15110.0,True,True,
39,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Screaming Suicide,Screaming Suicide,single,spotify:track:6ZCh9hBeFzMIPycRnyPqZT,0.425,0.972,4.0,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,330453.0,https://www.youtube.com/watch?v=ZDyDpdFZHBo,Metallica: Screaming Suicide (Official Music Video),Metallica,4317758.0,217109.0,17225.0,True,True,3905429.0
40,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Yellow,Parachutes,album,spotify:track:3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11.0,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0,https://www.youtube.com/watch?v=yKNxeF4KMsY,Coldplay - Yellow (Official Video),Coldplay,832532409.0,4600933.0,118296.0,True,True,1483622308.0
41,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,Viva La Vida or Death and All His Friends,album,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5.0,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,https://www.youtube.com/watch?v=dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),Coldplay,789581468.0,4370461.0,261790.0,True,True,1325575712.0
42,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Sparks,Parachutes,album,spotify:track:7D0RhFcb3CrfPuTJ0obrod,0.371,0.268,1.0,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093.0,https://www.youtube.com/watch?v=1aokooixKIo,Sparks,Coldplay - Topic,73201019.0,787343.0,1637.0,True,True,475353044.0
43,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Something Just Like This,Memories...Do Not Open,album,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11.0,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,https://www.youtube.com/watch?v=FM7MFYoylVs,The Chainsmokers & Coldplay - Something Just Like This (Lyric),ChainsmokersVEVO,2118018686.0,10282499.0,270444.0,True,True,2030825694.0
44,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,The Scientist,A Rush of Blood to the Head,album,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5.0,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,https://www.youtube.com/watch?v=RB-RcX5DS5A,Coldplay - The Scientist (Official 4K Video),Coldplay,1082588109.0,5532787.0,124357.0,True,True,1465980600.0
45,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,A Sky Full of Stars,Ghost Stories,album,spotify:track:0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6.0,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867.0,https://www.youtube.com/watch?v=VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video),Coldplay,786404613.0,3741300.0,79974.0,True,True,1021782403.0
