rank,movie_id,movie_name,year,imdb_rating,duration,genre
195,tt0353969,Memories of Murder,2003,8.1,131,Crime
196,tt3170832,Room,2015,8.1,118,Drama
197,tt4729430,Klaus,2019,8.1,96,Animation
198,tt2119532,Hacksaw Ridge,2016,8.1,139,Biography
199,tt0050976,The Seventh Seal,1957,8.1,96,Drama
200,tt3011894,Wild Tales,2014,8.1,122,Comedy
201,tt0118715,The Big Lebowski,1998,8.1,117,Comedy
202,tt1392190,Mad Max: Fury Road,2015,8.1,120,Action
203,tt0892769,How to Train Your Dragon,2010,8.1,98,Animation
204,tt0978762,Mary and Max.,2009,8.1,92,Animation
205,tt0198781,"Monsters, Inc.",2001,8.1,92,Animation
206,tt0073195,Jaws,1975,8.1,124,Adventure
207,tt0019254,The Passion of Christ,1928,8.2,110,Biography
208,tt0395169,Hotel Rwanda,2004,8.1,121,Biography
209,tt0097165,Dead Poets Society,1989,8.1,128,Comedy
210,tt0046438,Tokyo Story,1953,8.2,136,Drama
211,tt0048473,Pather Panchali,1955,8.3,125,Drama
212,tt0075148,Rocky,1976,8.1,120,Drama
213,tt0091763,Platoon,1986,8.1,120,Drama
214,tt1950186,Ford v Ferrari,2019,8.1,152,Action
215,tt0092005,Stand by Me,1986,8.1,89,Adventure
216,tt0088247,The Terminator,1984,8.1,107,Action
217,tt1895587,Spotlight,2015,8.1,129,Biography
218,tt1979320,Rush,2013,8.1,123,Action
219,tt0758758,Into the Wild,2007,8.1,148,Adventure
220,tt0074958,Network,1976,8.1,121,Drama
221,tt0032138,The Wizard of Oz,1939,8.1,102,Adventure
222,tt3315342,Logan,2017,8.1,137,Action
223,tt0107048,Groundhog Day,1993,8.1,101,Comedy
224,tt0382932,Ratatouille,2007,8.1,111,Animation
225,tt0381681,Before Sunset,2004,8.1,80,Drama
226,tt0070047,The Exorcist,1973,8.1,122,Horror
227,tt0036868,The Best Years of Our Lives,1946,8.1,170,Drama
228,tt0317705,The Incredibles,2004,8,115,Animation
229,tt0035446,To Be or Not to Be,1942,8.2,99,Comedy
230,tt0032551,The Grapes of Wrath,1940,8.1,129,Drama
231,tt0032976,Rebecca,1940,8.1,130,Drama
232,tt0058946,The Battle of Algiers,1966,8.1,121,Drama
233,tt1028532,Hachi: A Dog's Tale,2009,8.1,93,Biography
234,tt0061512,Cool Hand Luke,1967,8.1,127,Crime
235,tt0245712,Amores perros,2000,8.1,154,Drama
236,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,Action
237,tt0113247,La haine,1995,8.1,98,Crime
238,tt0053198,The 400 Blows,1959,8.1,99,Crime
239,tt0060827,Persona,1966,8.1,85,Drama
240,tt0079470,Life of Brian,1979,8,94,Comedy
241,tt0476735,My Father and My Son,2005,8.2,112,Drama
242,tt0071411,Dersu Uzala,1975,8.2,142,Adventure
243,tt0025316,It Happened One Night,1934,8.1,105,Comedy
244,tt0059742,The Sound of Music,1965,8.1,172,Biography
245,tt4016934,The Handmaiden,2016,8.1,145,Drama
246,tt15097216,Jai Bhim,2021,8.9,164,Crime
247,tt0103639,Aladdin,1992,8,90,Animation
248,tt0083987,Gandhi,1982,8.1,191,Biography
249,tt1454029,The Help,2011,8.1,146,Drama
250,tt0101414,Beauty and the Beast,1991,8,84,Animation
